Palabras
Hola
Hasta luego
20th Century
A caipirinha
Agent Orange
Alexander
Amber Moon
Angel Face
Apple Martini or Appletini
Astro pop
Aviation
Bacardi
Bananarita
Batida
Bay Breeze
Bee's Knees
Between the Sheets
Bijou
Black and Tan
Black Nail
Black Russian
Black Velvet
Bloodhound
Bloody Aztec
Bloody Mary
BLT cocktail
Blue Blazer
Blue Hawaii
Blue Lagoon
Bobby Burns
Boilermaker
Boulevardier
Bourbon Lancer
Bramble
Brandy Alexander
Brandy Manhattan
Brandy Sour (Cyprus)
Brandy Sour/Brandy Daisy
Brass Monkey
Breakfast martini
Bronx
Brooklyn
Bull Shot
Bumboo
Bushwacker
Caesar
Caipirinha
Caipivodka or Caipiroska
Caju Amigo
Cape Cod
Caribou Lou
Casino
Chi-Chi
Chicago Cocktail
Chimayó Cocktail
Churchill
Clover Club Cocktail
Cojito
Colombia
Corn N' Oil
Corpse Reviver #2
Cosmopolitan
Cuba Libre
Culto A La Vida
Curacao Punch
Daiquiri
Damn the Weather
Dark 'N' Stormy
Death in the Afternoon
Derby
Earthquake
El Presidente
El Toro Loco Patron and Redbull
Farnell
Fish House Punch
Fizzy apple cocktail
Flaming Dr Pepper
Flaming Volcano
Flirtini
Fluffy Critter
Four Horsemen
Four Score
French 75
French Connection
Gibson
Gimlet
Gimlet
Gin and tonic
Gin buck (a Buck variant)
Gin Fizz
Gin pahit
Gin Sour
Ginza Mary
Glowtini
Godmother
Green Russians
Green Vesper
Greyhound
Grog
Gunfire
Hangman's Blood
Hanky-Panky
Harrogate Nights
Harvey Wallbanger
Havana Cooler
Hennchata
Hi-fi
Horse's Neck
Hot buttered rum
Hurricane
Incredible Hulk
Irish Car Bomb
Irish coffee
Jack and Coke
Jack Rose
Jagertee
John Collins
Juan Collins
Jungle Juice
Kamikaze
Kensington Court Special
Kremlin Colonel
Leite de Onça
Lemon Drop
Lime Rickey
Lime Rickey
Link Up
London Fog
Long Island Iced Tea
Lorraine
Lynchburg Lemonade
Macuá
Mai-Tai
Manhattan
Margarita
Martini
Matador
Michelada
Mickey Slim
Mint Julep
Missouri Mule
Mojito
Moloko Plus
Monkey Gland
Moscow Mule
Mudslide
My Fair Lady
Negroni
Nikolaschka
Nixon
Old Etonian
Old Fashioned
Orange Tundra
Ouzini
Painkiller
Pall Mall
Paloma
Panama
Paradise
Paralyzer
Pegu
Pimm's Cup
Pink Gin
Pink Lady
Piña Colada
Pisco Sour
Planter's Punch
Porchcrawler
Porto flip
Quentão
Rabo-de-galo
Ramos Gin Fizz
Red Lotus
Red Russian
Rob Roy
Rose Kennedy Cocktail
Royal Arrival
Royal Bermuda Cocktail
Royce
Rum Swizzle
Rusty Nail
Sake Bomb
Salmiakki Koskenkorva
Salty Dog
Savoy Affair
Savoy Corpse Reviver
Sazerac
Screwdriver
Sea Breeze
Seven and Seven
Sex on the Beach
Shandy
Shirley Temple Black
Sidecar
Singapore Sling
Slammer Royale
Snakebite
Staten Island Ferry
Stinger
Sundowner
Tamagozake
Tequila and Tonic
Tequila Sour
Tequila Sunrise
The Blenheim
The Goldeneye
The Last Word
Three Wise Men
Ti' Punch
Tom and Jerry
Tom Collins
Toronto
Tschunk
Tuxedo
U-Boot
Vesper
Vesper Martini
Vodka Gimlet
Vodka Martini or Kangaroo
Vodka McGovern
Vodka Sundowner
Vodka Sunrise
Ward 8
Whiskey sour
Whisky Mac
White Lady or Delilah
White Russian
Wolfram
Woo Woo
Yellow Bird
Yorsh
Zombie
